timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250402 15:32:00 US/Eastern,HOOD_aggressive,SELL,10,42.6200,42.0000,62.36,0.0099,-0.0480,42.5657,42.2670,0.0000,bearish,0.1296,0.1749,6.200,1.476,1948.80,PartialTP 3 (3.0R @42.525),,
20250402 15:32:00 US/Eastern,PSQ_aggressive,BUY,25,40.0900,40.0900,34.57,-0.0242,-0.0092,40.1960,40.2075,0.0000,bearish,0.0362,0.1000,,,946.55,"Buy Init: RSI(34.57)<=OS(35), 15mOK, >VWAP",39.990,
20250402 15:47:00 US/Eastern,PSQ_aggressive,SELL,25,39.9900,40.0900,31.34,-0.0486,-0.0450,40.1910,40.0600,0.0000,bearish,0.0310,0.1000,-2.500,-0.249,1946.30,StopLossHit(39.990),39.990,
20250402 15:48:00 US/Eastern,PSQ_aggressive,BUY,25,39.9600,39.9600,27.95,-0.0506,-0.0462,40.1908,40.0510,0.0000,bearish,0.0310,0.1000,,,947.30,"Buy Init: RSI(27.95)<=OS(35), 15mOK, >VWAP",39.860,
20250402 15:50:00 US/Eastern,HOOD_aggressive,SELL,1,42.6900,42.0000,53.18,0.0878,0.0955,42.5727,42.7250,0.0000,bearish,0.1063,0.1749,0.690,1.643,989.99,TrailingStopHit(42.712),,42.712
20250402 15:51:00 US/Eastern,UGL_aggressive,BUY,25,32.3200,32.3200,28.69,-0.0024,0.0054,32.3389,32.3740,0.0000,bearish,0.0095,0.1000,,,181.99,"Buy Init: RSI(28.69)<=OS(35), 15mOK, >VWAP",32.220,
20250402 15:56:00 US/Eastern,UGL_aggressive,SELL,25,32.3200,32.3200,34.57,-0.0097,-0.0037,32.3388,32.3600,0.0000,bearish,0.0099,0.1000,0.000,0.000,989.99,TrailingStopHit(32.328),,32.328
20250402 15:59:00 US/Eastern,PSQ_aggressive,SELL,25,40.0400,39.9600,53.17,-0.0275,-0.0379,40.1717,39.9970,0.0000,bearish,0.0365,0.1000,2.000,0.200,1990.99,EndOfDayExit,,
20250403 09:43:00 US/Eastern,SCHD_aggressive,BUY,25,27.4400,27.4400,24.38,0.0000,0.0000,27.4327,27.4236,0.0000,bearish,0.0838,0.1257,,,1304.99,"Buy Init: RSI(24.38)<=OS(35), 15mOK, >VWAP",27.314,
20250403 10:10:00 US/Eastern,HOOD_aggressive,BUY,25,38.0700,38.0700,34.51,-0.2016,-0.1568,38.9180,38.6160,0.0000,bearish,0.2928,0.4392,,,353.24,"Buy Init: RSI(34.51)<=OS(35), 15mOK, >VWAP",37.631,
20250403 10:21:00 US/Eastern,HOOD_aggressive,SELL,25,38.0900,38.0700,40.50,-0.1427,-0.1680,38.7963,38.2335,0.0000,bearish,0.2263,0.4392,0.500,0.053,1305.49,TrailingStopHit(38.128),,38.128
20250403 10:23:00 US/Eastern,SCHD_aggressive,SELL,25,27.0100,27.4400,33.39,-0.0527,-0.0637,27.2192,27.0160,0.0000,bearish,0.0369,0.1257,-10.750,-1.567,1980.74,StopLossHit(27.314),27.314,
