timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250325 13:17:00 US/Eastern,TQQQ_conservative,BUY,7,66.9100,66.9100,38.59,0.0174,0.0478,66.8017,67.0755,0.0000,bullish,0.0680,0.2500,,,1563.67,"Buy Init: RSI(38.59)<=OS(40), 15mOK, >VWAP",66.660,
20250325 13:29:00 US/Eastern,IBIT_conservative,BUY,10,50.0000,50.0000,35.06,-0.0058,0.0130,49.9369,50.1105,0.0000,bullish,0.0422,0.2500,,,1063.67,"Buy Init: RSI(35.06)<=OS(40), 15mOK, >VWAP",49.750,
20250325 13:29:00 US/Eastern,BITX_conservative,BUY,10,41.1300,41.1300,33.54,-0.0169,0.0163,40.9948,41.3420,0.0000,bullish,0.0609,0.2500,,,652.37,"Buy Init: RSI(33.54)<=OS(40), 15mOK, >VWAP",40.880,
20250325 13:34:00 US/Eastern,TQQQ_conservative,SELL,7,66.6500,66.9100,36.71,-0.0993,-0.0903,66.7967,66.7570,0.0000,bullish,0.0814,0.2500,-1.820,-0.389,1118.92,StopLossHit(66.660),66.660,
20250325 14:46:00 US/Eastern,BITX_conservative,SELL,10,40.8700,41.1300,36.02,-0.0611,-0.0500,41.0059,40.9855,0.0000,bullish,0.0505,0.2500,-2.600,-0.632,1527.62,StopLossHit(40.880),40.880,
20250325 15:02:00 US/Eastern,IBIT_conservative,SELL,10,50.0300,50.0000,68.09,0.0220,0.0068,49.9407,49.9080,0.0000,bullish,0.0379,0.2500,0.300,0.060,2027.92,RSIOverbought(68.09>=65),,
20250326 10:53:00 US/Eastern,PSQ_conservative,BUY,10,38.9500,38.9500,36.00,0.0007,0.0081,38.8533,39.0020,0.0000,bullish,0.0207,0.2500,,,1638.42,"Buy Init: RSI(36.00)<=OS(40), 15mOK, >VWAP",38.700,
20250326 11:25:00 US/Eastern,PSQ_conservative,SELL,10,39.0200,38.9500,70.54,0.0034,-0.0051,38.8640,38.9565,0.0000,bullish,0.0157,0.2500,0.700,0.180,2028.62,RSIOverbought(70.54>=65),,
20250326 12:31:00 US/Eastern,PSQ_conservative,BUY,10,39.1300,39.1300,36.22,-0.0022,0.0076,38.9335,39.1835,0.0000,bullish,0.0172,0.2500,,,1637.32,"Buy Init: RSI(36.22)<=OS(40), 15mOK, >VWAP",38.880,
20250326 12:55:00 US/Eastern,PSQ_conservative,SELL,10,39.2500,39.1300,66.25,0.0160,0.0098,38.9490,39.1920,0.0000,bullish,0.0187,0.2500,1.200,0.307,2029.82,RSIOverbought(66.25>=65),,
20250326 14:12:00 US/Eastern,PSQ_conservative,BUY,10,39.3100,39.3100,38.09,-0.0025,0.0063,39.0264,39.3605,0.0000,bullish,0.0188,0.2500,,,1636.72,"Buy Init: RSI(38.09)<=OS(40), 15mOK, >VWAP",39.060,
20250326 14:34:00 US/Eastern,UGL_conservative,BUY,10,30.1300,30.1300,32.13,0.0045,0.0075,30.1073,30.1515,0.0000,neutral,0.0040,0.2500,,,1335.42,"Buy Init: RSI(32.13)<=OS(40), 15mOK, >VWAP",29.880,
20250326 14:42:00 US/Eastern,PSQ_conservative,SELL,10,39.3600,39.3100,67.27,0.0099,0.0008,39.0328,39.3015,0.0000,bullish,0.0148,0.2500,0.500,0.127,1729.02,RSIOverbought(67.27>=65),,
20250326 15:19:00 US/Eastern,PSQ_conservative,BUY,10,39.3700,39.3700,39.33,0.0005,0.0083,39.0725,39.4140,0.0000,bullish,0.0191,0.2500,,,1335.32,"Buy Init: RSI(39.33)<=OS(40), 15mOK, >VWAP",39.120,
20250326 15:59:00 US/Eastern,UGL_conservative,SELL,10,30.0900,30.1300,62.00,0.0045,0.0012,30.1001,30.0695,0.0000,neutral,0.0076,0.2500,-0.400,-0.133,1636.22,EndOfDayExit,,
20250326 15:59:00 US/Eastern,PSQ_conservative,SELL,10,39.3200,39.3700,44.85,-0.0198,-0.0202,39.1283,39.3325,0.0000,bullish,0.0266,0.2500,-0.500,-0.127,2029.42,EndOfDayExit,,
